timeStamp,latitude,longitude,altitude
1681861860,-57.859657,173.087692,519.033997
1681861680,-68.718102,-178.642014,520.474487
1681861500,-78.627869,-157.239761,520.664307
1681861320,-82.162720,-86.684860,519.399780
1681861140,-74.210098,-43.047092,516.686646
1681860960,-63.654675,-30.206394,512.746643
1681860780,-52.616714,-24.056898,507.993225
1681860600,-41.401398,-20.106482,502.977478
1681860420,-30.091106,-17.104887,498.311981
1681860240,-18.721659,-14.567350,494.581635
1681860060,-7.316876,-12.255319,492.255798
1681859880,4.102331,-10.020965,491.615997
1681859700,15.515492,-7.743430,492.712219
1681859520,26.901821,-5.287094,495.356781
1681859340,38.238552,-2.448086,499.156036
1681859160,49.494572,1.163165,503.574524
1681858980,60.606972,6.482644,508.019104
